NL_Query,GT_Glossary,Predicted_Glossary,Combined_Score
What’s the total value of everything we own right now?,Assets,Enterprise Value (EV),0.7778
How much do we owe to banks and suppliers today?,Liabilities,Borrowings,0.8103
What’s the company worth to our shareholders this quarter?,Equity,Equity,0.8122
How much cash and stuff can we turn into cash within a year?,Current Assets,Current Assets,0.8734
What’s the value of our long-term stuff like factories?,Non-Current Assets,Non-Current Assets,0.8271
What bills do we need to pay off in the next 12 months?,Current Liabilities,Current Liabilities,0.3286
What debts are we carrying for the long haul?,Non-Current Liabilities,Non-Current Liabilities,0.8453
How much cash do we have after covering short-term bills?,Working Capital,Working Capital,0.7798
What’s our company’s value to owners after paying debts?,Net Worth,Equity,0.3314
How much money did we make from sales in May 2025?,Revenue,Revenue,0.7697
How much cash did we pull in from selling products in Q2 2025?,Revenue,Revenue,0.7793
What’s the cost of making the goods we sold last week?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.8179
How much did it cost to produce our stuff in April 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.759
"After covering production, what did we keep in Q2 2025?",Gross Profit,Current Assets,0.2787
What’s left after paying to make our products this month?,Gross Profit,Trade Payables,0.296
What are we spending on rent and wages this quarter?,Operating Expenses,Operating Expenses,0.7641
How much goes to running the business daily in 2025?,Operating Expenses,Operating Expenses,0.7692
How much profit came from operations before taxes in Q2?,Operating Profit (EBIT),Operating Profit (EBIT),0.8564
What did our core business earn before interest this year?,Operating Profit (EBIT),Operating Profit (EBIT),0.832
What’s our earnings before taxes and equipment costs in June?,EBITDA,EBITDA,0.7731
How much profit did we make before depreciation this month?,EBITDA,EBITDA,0.7841
What’s left after all costs and taxes in Q1 2025?,Net Profit (PAT),Net Profit (PAT),0.7741
How much profit did we keep after everything last quarter?,Net Profit (PAT),Net Profit (PAT),0.7795
What’s each share earning for investors this month?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8026
How much profit per share did we make in Q2 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.7931
How much cash did our business operations bring in last month?,Operating Cash Flow,Operating Cash Flow,0.8047
What cash came from our core activities in May 2025?,Operating Cash Flow,Operating Cash Flow,0.7879
What did we spend on new machines in Q1 2025?,Investing Cash Flow,Investing Cash Flow,0.7344
How much went to buying assets last quarter?,Investing Cash Flow,Investing Cash Flow,0.8164
Did we get any cash from loans in June 2025?,Financing Cash Flow,Financing Cash Flow,0.7651
Any money raised from investors or borrowing this month?,Financing Cash Flow,Financing Cash Flow,0.3068
How much cash is left after buying gear this quarter?,Free Cash Flow,Investing Cash Flow,0.2984
What’s the cash we have after capital spending in 2025?,Free Cash Flow,Free Cash Flow,0.7903
How much are we writing off for old equipment this month?,Depreciation,Depreciation,0.7908
What’s the depreciation on our assets in Q2 2025?,Depreciation,Depreciation,0.8286
What costs are we spreading for patents this year?,Amortization,Current Liabilities,0.253
Are we spreading out expenses for software over time?,Amortization,Provisions,0.2942
What bills are on the books but unpaid as of now?,Accruals,Accruals,0.758
What expenses have we logged but not paid in June?,Accruals,Accruals,0.7733
Are we saving enough for future repairs or costs?,Provisions,Provisions,0.7824
Do we have funds set aside for upcoming liabilities?,Provisions,Provisions,0.8844
Might we owe money if a legal case goes against us?,Contingent Liabilities,Contingent Liabilities,0.3012
Are there any potential debts from future risks?,Contingent Liabilities,Contingent Liabilities,0.8485
What share of our sales is profit after production in Q2?,Net Profit Margin,Net Profit Margin,0.7993
How much of our revenue stays after making goods?,Net Profit Margin,Revenue,0.3486
Are we earning good money from our assets this year?,Return on Assets (ROA),Return on Assets (ROA),0.8006
How well are our assets generating profits in 2025?,Return on Assets (ROA),Return on Assets (ROA),0.8079
What’s the return for shareholders this quarter?,Return on Equity (ROE),Return on Equity (ROE),0.8219
How much are investors earning on their stake in Q2?,Return on Equity (ROE),Dividend Payout Ratio,0.307
Are we using our capital wisely to make money?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.8055
Is our capital generating strong profits this year?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),0.7912
What’s our profit percentage before taxes this month?,EBITDA Margin,Operating Profit (EBIT),0.3348
How much of sales is profit before depreciation in Q2?,EBITDA Margin,Operating Profit (EBIT),0.3219
Can we cover short-term bills easily right now?,Current Ratio,Current Ratio,0.804
Do we have enough to pay debts due soon?,Current Ratio,Current Liabilities,0.3158
Can we pay off debts without selling our stock?,Quick Ratio (Acid Test),Debt-to-Equity Ratio,0.2835
Are we liquid enough without inventory for short-term bills?,Quick Ratio (Acid Test),Current Ratio,0.8228
Do we have enough cash for bills due immediately?,Cash Ratio,Accruals,0.3071
Can we handle urgent bills with our cash on hand?,Cash Ratio,Accruals,0.2872
How fast are we selling our inventory this month?,Inventory Turnover,Inventory Turnover,0.8431
Are we moving our stock quickly enough in Q2?,Inventory Turnover,Inventory Turnover,0.7959
Are customers paying us faster than in Q1 2025?,Receivables Turnover,Payables Turnover,0.2952
How quick are we collecting payments this quarter?,Receivables Turnover,Receivables Turnover,0.7731
How often are we paying suppliers this month?,Payables Turnover,Payables Turnover,0.7762
Are we settling vendor bills on time in 2025?,Payables Turnover,Current Liabilities,0.2878
Are our assets driving enough sales this year?,Asset Turnover,Asset Turnover,0.79
How well are we using our stuff to boost revenue?,Asset Turnover,Revenue,0.3294
Is our short-term cash fueling sales effectively?,Working Capital Turnover,Current Ratio,0.3966
Are we getting good sales from our working capital?,Working Capital Turnover,Working Capital,0.3451
Do we owe more than our company’s worth to shareholders?,Debt-to-Equity Ratio,Equity,0.3242
Are our debts higher than our equity this quarter?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,0.8179
How much of our assets are paid for with loans?,Debt Ratio,Debt Ratio,0.8136
What portion of our stuff is funded by borrowing?,Debt Ratio,Debt Ratio,0.802
Can we cover our loan interest without stress?,Interest Coverage Ratio,Interest Coverage Ratio,0.8189
Are our profits enough to handle interest payments?,Interest Coverage Ratio,Interest Coverage Ratio,0.8071
How much of the company belongs to shareholders?,Equity Ratio,Equity Ratio,0.7859
What share of our assets comes from owners’ funds?,Equity Ratio,Equity Ratio,0.8168
What’s the balance of loans versus our own money?,Capital Gearing Ratio,Capital Gearing Ratio,0.7732
How much debt do we have compared to equity?,Capital Gearing Ratio,Debt-to-Equity Ratio,0.3395
How much profit is each share making this year?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8352
What’s the per-share profit for investors in Q2?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8217
Is our stock price too high for our earnings?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.7895
Are investors overpaying for our stock based on profits?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,0.7901
Does our stock value match our actual worth?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.7907
Is our stock price in line with our net assets?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,0.8159
What’s the dividend return for investors right now?,Dividend Yield,Dividend Yield,0.8458
How much are we paying out in dividends to shareholders?,Dividend Yield,Dividend Yield,0.8156
How much of our profits are we giving as dividends?,Dividend Payout Ratio,Dividend Payout Ratio,0.8655
What share of earnings goes to dividend payments?,Dividend Payout Ratio,Dividend Payout Ratio,0.8994
"What’s our company’s total worth, including debts?",Enterprise Value (EV),Enterprise Value (EV),0.8153
How much is the business valued at with all debts?,Enterprise Value (EV),Enterprise Value (EV),0.782
How does our value compare to profits before taxes?,EV/EBITDA,EV/EBITDA,0.8141
What’s our company worth relative to core earnings?,EV/EBITDA,EV/EBITDA,0.825
What’s the value of our factories and machines today?,"Property, Plant and Equipment (PPE)","Property, Plant and Equipment (PPE)",0.7645
How much are our physical assets worth right now?,"Property, Plant and Equipment (PPE)",Current Assets,0.3296
How much are our patents and brands valued at?,Intangible Assets,Intangible Assets,0.7645
What’s the worth of our non-physical assets like software?,Intangible Assets,Intangible Assets,0.8669
What’s the value of our rental properties?,Investment Property,Investment Property,0.8227
How much are our properties for rent or sale worth?,Investment Property,Investment Property,0.8106
How much do we have in stocks or bonds?,Financial Assets,Financial Assets,0.8017
What’s the value of our financial investments today?,Financial Assets,Financial Assets,0.8129
What’s the worth of our unsold products in stock?,Inventories,Inventories,0.7894
How much value is tied up in our inventory?,Inventories,Inventories,0.837
Can we save on taxes later from past losses?,Deferred Tax Assets,Deferred Tax Assets,0.8202
Are there tax benefits we can claim in the future?,Deferred Tax Assets,Deferred Tax Assets,0.8526
How much have we borrowed from banks overall?,Borrowings,Borrowings,0.8292
What’s the total of our outstanding loans?,Borrowings,Borrowings,0.7895
What do we owe suppliers for materials this month?,Trade Payables,Trade Payables,0.8373
How much are we behind on vendor payments?,Trade Payables,Trade Payables,0.7828
Are we setting aside enough for employee benefits?,Provisions,Provisions,0.8161
Do we have funds reserved for future liabilities?,Provisions,Provisions,0.8839
What taxes might we owe down the line?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.3189
Are there future tax payments we’re deferring?,Deferred Tax Liabilities,Deferred Tax Liabilities,0.837
What other debts do we have besides loans?,Other Financial Liabilities,Other Financial Liabilities,0.8438
Are there any non-loan debts we’re carrying?,Other Financial Liabilities,Other Financial Liabilities,0.8153
How much did shareholders invest in the company?,Share Capital,Share Capital,0.7978
What’s the total cash from issuing shares?,Share Capital,Share Capital,0.8434
What’s the total of profits we’ve kept over time?,Other Equity / Reserves & Surplus,Net Profit (PAT),0.3061
How much have we saved from past earnings?,Other Equity / Reserves & Surplus,Operating Profit (EBIT),0.2864
How’s our sales revenue looking compared to Q1 2025?,Revenue,Revenue,0.7922
Did we make more from sales this month than last June?,Revenue,Revenue,0.7734
What’s the cost trend for producing our goods in 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.7771
Did it cost more to make products in May 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),0.762
How much profit did we keep after production in Q1?,Gross Profit,Gross Profit,0.7824
What’s left after covering production costs this year?,Gross Profit,Provisions,0.2894
Are we overspending on salaries and utilities?,Operating Expenses,Operating Expenses,0.7619
How much are we burning through on daily operations?,Operating Expenses,Operating Expenses,0.7888
What did we earn from operations in Q1 2025?,Operating Profit (EBIT),Operating Profit (EBIT),0.7883
How’s our core profit before interest this month?,Operating Profit (EBIT),Operating Profit (EBIT),0.8112
What’s our profit before taxes and write-offs in Q2?,EBITDA,EBITDA,0.8033
How much are we earning before depreciation this year?,EBITDA,EBITDA,0.808
How much profit did we clear after all costs in May?,Net Profit (PAT),Net Profit (PAT),0.8073
What’s our bottom line for Q2 2025?,Net Profit (PAT),Current Assets,0.295
How much is each share earning this month?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8264
What’s the profit per share in the first half of 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),0.8099
How much cash flowed from operations in June 2025?,Operating Cash Flow,Operating Cash Flow,0.8095
What’s the cash from our business activities this quarter?,Operating Cash Flow,Operating Cash Flow,0.8038
What did we spend on investments in May 2025?,Investing Cash Flow,Investing Cash Flow,0.7831
How much went to buying new assets this month?,Investing Cash Flow,Investing Cash Flow,0.8082
Did we raise funds through financing in Q2 2025?,Financing Cash Flow,Financing Cash Flow,0.3022
Any cash from loans or shares this quarter?,Financing Cash Flow,Financing Cash Flow,0.8088
How much cash is left after equipment buys in June?,Free Cash Flow,Current Assets,0.3073
What’s our free cash after capital expenses this month?,Free Cash Flow,Free Cash Flow,0.8364
What’s the write-off for our gear this quarter?,Depreciation,Depreciation,0.7736
How much are we depreciating our assets in 2025?,Depreciation,Depreciation,0.8134
Are we spreading costs for trademarks over time?,Amortization,Deferred Tax Assets,0.2831
