NL_Query,period_id,period_view,predicted_period_id,gt_year,predicted_year,gt_nature,predicted_nature,gt_view,predicted_view,gt_sequence,predicted_sequence
I want to know the Equity year to date for August 2014.,2014_M_PRD_8,PRD,2014_M_PRD_0,2014,2014,M,M,PRD,PRD,8,0
I want to know the Working Capital  for July 2020.,2020_M_FTP_7,FTP,2020_M_PRD_0,2020,2020,M,M,FTP,PRD,7,0
Can you share the Operating Cash Flow  for Second half 2023?,2023_FH_FTP_2,FTP,2023_FH_PRD_2,2023,2023,FH,FH,FTP,PRD,2,2
What was the Non-Current Assets for the period for Q1 2010?,2010_FQ_FTP_1,FTP,2010_FQ_PRD_1,2010,2010,FQ,FQ,FTP,PRD,1,1
Can you share the Gross Profit as of for FY 2016?,2016_FY_PRD_1,PRD,2016_FY_FTP_1,2016,2016,FY,FY,PRD,FTP,1,1
Please give me the Free Cash Flow for the period for January 2011.,2011_M_FTP_1,FTP,2011_M_FTP_0,2011,2011,M,M,FTP,FTP,1,0
Can you share the Liabilities for the period for February 2018?,2018_M_FTP_2,FTP,2018_M_FTP_0,2018,2018,M,M,FTP,FTP,2,0
Could you tell me the Financing Cash Flow as of for Second half 2012?,2012_FH_PRD_2,PRD,2012_FH_PRD_2,2012,2012,FH,FH,PRD,PRD,2,2
What was the EPS for the period for July 2022?,2022_M_FTP_7,FTP,2022_M_PRD_0,2022,2022,M,M,FTP,PRD,7,0
Please give me the Gross Profit up to for Q1 2016.,2016_FQ_PRD_1,PRD,2016_FQ_PRD_1,2016,2016,FQ,FQ,PRD,PRD,1,1
Please give me the Current Assets  for Q2 2016.,2016_FQ_FTP_2,FTP,2016_FQ_PRD_2,2016,2016,FQ,FQ,FTP,PRD,2,2
I want to know the Financing Cash Flow as of for Q3 2021.,2021_FQ_PRD_3,PRD,2021_FQ_PRD_3,2021,2021,FQ,FQ,PRD,PRD,3,3
Could you tell me the Gross Profit  for June 2012?,2012_M_FTP_6,FTP,2012_M_FTP_0,2012,2012,M,M,FTP,FTP,6,0
Please give me the Current Assets for the period for May 2018.,2018_M_FTP_5,FTP,2018_M_PRD_0,2018,2018,M,M,FTP,PRD,5,0
Can you share the Assets for the period for First half 2019?,2019_FH_FTP_1,FTP,2019_FH_FTP_1,2019,2019,FH,FH,FTP,FTP,1,1
I want to know the EBITDA year to date for August 2015.,2015_M_PRD_8,PRD,2015_M_PRD_0,2015,2015,M,M,PRD,PRD,8,0
Could you tell me the Non-Current Liabilities for the period for March 2020?,2020_M_FTP_3,FTP,2020_M_PRD_0,2020,2020,M,M,FTP,PRD,3,0
Could you tell me the Amortization as of for FY 2022?,2022_FY_PRD_1,PRD,2022_FY_PRD_1,2022,2022,FY,FY,PRD,PRD,1,1
I want to know the Liabilities for the period for FY 2024.,2024_FY_FTP_1,FTP,2024_FY_FTP_1,2024,2024,FY,FY,FTP,FTP,1,1
Can you share the EBITDA as of for Q1 2012?,2012_FQ_PRD_1,PRD,2012_FQ_PRD_1,2012,2012,FQ,FQ,PRD,PRD,1,1
What was the Equity year to date for FY 2019?,2019_FY_PRD_1,PRD,2019_FY_PRD_1,2019,2019,FY,FY,PRD,PRD,1,1
I want to know the Depreciation year to date for Q1 2015.,2015_FQ_PRD_1,PRD,2015_FQ_PRD_1,2015,2015,FQ,FQ,PRD,PRD,1,1
Can you share the Current Liabilities for the period for September 2024?,2024_M_FTP_9,FTP,2024_M_PRD_0,2024,2024,M,M,FTP,PRD,9,0
What was the EBITDA for the period for FY 2017?,2017_FY_FTP_1,FTP,2017_FY_FTP_1,2017,2017,FY,FY,FTP,FTP,1,1
