NL_Query,Label
Wat was EV this month?,0
How much was the Revenue in May 2025?,0
Can you share the Amortization as of for July 2025?,0
What bills are we holding off this month?,0
Can you share the Non-Current Assets for the period for Q3 2011?,0
I want to know the Wat was Investing Cash Flow this month?,0
I want to know the Give me Quick Ratio (Acid Test) figure for last quater?,0
How much cash do we have for immediate bills?,0
I want to know the worth of our non-physical assets like software?,0
Please provide the value for: What’s the total cash from issuing shares,0
I want to know the Are our debts higher than our equity?,0
Wat was Borrowings this month?,0
Please give me the Revenue year to date for January 2020.,0
Tell me Current Assets last quater?,0
Please provide the value for: Wat was the Assets this month,0
How much were the Contingent Liabilities in May 2025?,0
Please give me the Net Worth  for August 2024.,0
Can we handle urgent bills with our cash on hand?,0
Please provide the value for: What was the Non-Current Assets value in May 2025,0
Can you tell me what was the Asset Turnover last year?,0
Can you share the EBITDA  for Q4 2016?,0
Could you tell me the Operating Expenses up to for Q4 2022?,0
Please provide the value for: How much goes to running the business daily in 2025,0
I want to know the How much profit is each share making in June?,0
How much of our assets are from loans?,0
Please provide the value for: Tell me Financing Cash Flow last quater,0
I want to know the Financial Assets figure for Q1 2025.,0
I want to know the Amortization for Q1 2025?,0
Can you provide the Other Financial Liabilities values for Q2 2025?,0
I want to know the Wat was Dividend Payout Ratio this month?,0
Please provide the value for: What was the Financing Cash Flow total this month,0
I want to know the EV/EBITDA last year?,0
I want to know the Can u pls tel me Operating Expenses in Q1 2025?,0
I want to know the How much was Quick Ratio in May 2025?,0
I want to know the Wat was Operating Cash Flow this month?,0
How much are our patents and brands valued at?,0
Please provide the value for: How much do we owe suppliers this month,0
I want to know the Depreciation last year?,0
Can you share the Financing Cash Flow for the period for Q4 2011?,0
Please provide the value for: How much was EBITDA in May 2025,0
What bills have we noted but not paid yet as of last month?,0
I want to know the How does our value compare to profits before taxes?,0
I want to know the How much cash did our business operations bring in last month?,0
Please provide the value for: Can u pls tel me EV/EBITDA in Q1 2025,0
What’s the sum of profits we’ve saved up?,0
Please provide the value for: Can u pls tel me Amortization in Q1 2025,0
Please provide the value for: What’s our profit margin after making goods in Q2,0
I want to know the What did we spend on new equipment or investments last year?,0
How much was tha Trade Payables during Q1 2025?,0
What was the Contingent Liabilities total this month?,0
Are customers paying us faster than they did last year?,0
Please provide the value for: What share of assets is from owners,0
Can you share the Equity for the period for FY 2018?,0
Please provide the value for: What was the EPS for the period for FY 2015,0
Please provide the value for: I want to know the Gross Profit year to date for February 2016,0
I want to know the How much do we owe to banks and suppliers today?,0
I want to know the Financing Cash Flow as of for Q3 2021.,0
Please provide the value for: Wat was Current Ratio this month,0
I want to know the Gross Profit year to date for February 2016.,0
Wat was Net Profit this month?,0
What was the EPS as of for FY 2018?,0
I want to know the How much are we earning before depreciation this year?,0
Can you share the Receivables Turnover this month?,0
Please provide the value for: How much is the business valued at with all debts,0
I want to know the Can u pls tel me Cash Ratio in Q1 2025?,0
Please provide the value for: What was the Depreciation to date for FY 2025,0
I want to know the Gimme ROE figure for last quater?,0
Please provide the value for: Can you share the Intangible Assets for Q1 2025,0
I want to know the Can yu share EV/EBITDA last yr?,0
Please provide the value for: Could you tell me the Amortization for the period for Q1 2012,0
I want to know the Are we getting good sales from our short-term cash?,0
What share of our sales is profit after production in Q2?,0
I want to know the How does our value stack up against profits before taxes and depreciation?,0
Please provide the value for: Are we spending more than planned this year,0
Please provide the value for: Wat was Contingent Liabilities this month,0
Please provide the value for: Can we save taxes from past business losses,0
"Please provide the value for: Could you share the Earnings before Interest, Tax, Depreciation, and Amortisation for the last quarter",0
Please provide the value for: What was the P/E Ratio value in May 2025,0
Can u pls tel me Assets from Q1 2025?,0
I want to know the dividend return for investors right now?,0
Are there non-loan debts we’re responsible for?,0
Please provide the value for: What was the Non-Current Liabilities  for Q3 2013,0
Please provide the value for: Can you share the EPS  for Second half 2024,0
Please I would like to receive the Free Cash Flow  for Q4 2016.,0
What was the ROCE value in May 2025?,0
Please provide the value for: Can you share the Free Cash Flow for Q1 2025,0
I want to know the period for Second half 2020.,0
Please provide the value for: How much was Revenue in May 2025,0
I want to know the Revenue  for November 2025.,0
I want to know the Capital Gearing Ratio last year?,0
Please provide the value for: What’s the worth of our financial investments,0
Tell me Borrowings in Q1 2025?,0
Wat was Current Ratio this month?,0
I want to know the Provisions last year?,0
Please provide the value for: What's was the Cash Ratio last quarter,0
Please provide the value for: Can yu share Dividend Yield last yr,0
Please provide the value for: Are we getting good returns on our capital,0
Please provide the value for: Can u tell me PPE last yr,0
Please provide the value for: Could you tell me the EPS up to for First half 2013,0
I want to know the Can u pls tel me Asset Turnover in Q1 2025?,0
I want to know the Are our assets producing good profits this quarter?,0
Please provide the value for: Can we pay debts without selling our stockpile,0
Please provide the value for: Are we moving our stock fast enough,0
Please provide the value for: Can u tell me Payables Turnover last yr,0
How does our values compare to profits before taxes?,0
Please provide the value for: How much was EPS in May 2025,0
I want to know the Net Worth value in May 2025?,0
Please provide the value for: What was the Liabilities  for FY 2023,0
Tell me Free Cash Flow in Q1 2025?,0
Please provide the value for: How much are we depreciating our assets in 2025,0
Are we getting good returns on our capital?,0
Please provide the value for: Gimme Dividend Payout Ratio for last quater,0
Could you tell me the Amortization as of for FY 2022?,0
What was the EPS amounts this month?,0
I want to know the How much are we paying out in dividends to shareholders?,0
Please provide the value for: How much were the Contingent Liabilities in May 2025,0
Please provide the value for: How much was the ROCE in Q1 2025,0
How much were the Accruals in May 2025?,0
I want to know the How much cash and stuff can we turn into cash within a year?,0
I want to know the Investing Cash Flow last year?,0
Please provide the value for: Wat was P/B Ratio this month,0
Please provide the value for: What’s our profit percentage before taxes in Q2,0
Please provide the value for: Tell me the Price-to-Earnings (P/E) Ratio last yr,0
Can u pls tel me Amortization in Q1 2025?,0
I want to know the value of our buildings and machines right now?,0
Please provide the value for: What’s the write-off for our gear this quarter,0
I want to know the Equity for the period for Q3 2014.,0
Please provide the value for: I wanna know the Gross Profit Margin for the last quarter,0
Please provide the value for: How much were the Assets in May 2025,0
Please provide the value for: Can you pls tel me Operating Profit Margin from last year,0
Can you tell me what was the Payables Turnover last year?,0
Any money raised from investors or borrowing this month?,0
Please provide the value for: Can yu share Current Ratio in Q1 2025,0
Can you provide the Non-Current Assets total this month?,0
What chunk of our sales is profit after making our products this quarter?,0
Please provide the value for: How much was Operating Expenses in May 2025,0
I want to know the Operating Cash Flow in Q1 2025?,0
Please provide the value for: I want to know the EBITDA  for December 2021,0
I want to know the Intangible Assets last year?,0
What’s our free cash flow for Q2 2025?,0
Please provide the value for: What was the total Other Equity this year,0
Please provide the value for: How much is each share earning us this year,0
I want to know the Can u pls tel me Equity from Q1 2025?,0
I want to know the re unpaid expenses logged for Q2?,0
Can u tell me Quick Ratio last yr?,0
I want to know the Did it cost more to make things this month than last month?,0
I want to know the Wat was Quick Ratio this month?,0
Please provide the value for: Do we have unpaid bills recorded for this month,0
I want to know the Amortization last yr?,0
Please provide the value for: Can u tell me what was the Return on Equity (ROE) last year,0
Can we cover interest with our earnings?,0
Wat was EBITDA Margin this month?,0
Please provide the value for: Tell me Net Profit in Q1 2025,0
Please I would like to receive the Current Liabilities as of for May 2015.,0
I want to know the Equity Ratio for Q1 2025?,0
Please provide the value for: Can u tell me Inventory Turnover last yr,0
Can u tell me Investment Property last yr?,0
