NL_Query,GT_Glossary,Predicted_Glossary,Combined_Score
What’s the total value of everything we own right now?,Assets,Financial Assets,-2.0126
How much do we owe to banks and suppliers today?,Liabilities,Trade Payables,2.6928
What’s the company worth to our shareholders this quarter?,Equity,Return on Equity (ROE),3.9712
How much cash and stuff can we turn into cash within a year?,Current Assets,Current Assets,3.7074
What’s the value of our long-term stuff like factories?,Non-Current Assets,Inventories,3.4366
What bills do we need to pay off in the next 12 months?,Current Liabilities,Deferred Tax Liabilities,3.0023
What debts are we carrying for the long haul?,Non-Current Liabilities,Non-Current Liabilities,3.672
How much cash do we have after covering short-term bills?,Working Capital,Current Ratio,1.0243
What’s our company’s value to owners after paying debts?,Net Worth,EV/EBITDA,4.5803
How much money did we make from sales in May 2025?,Revenue,Revenue,5.4571
How much cash did we pull in from selling products in Q2 2025?,Revenue,Revenue,2.1244
What’s the cost of making the goods we sold last week?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),6.0155
How much did it cost to produce our stuff in April 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),1.8741
"After covering production, what did we keep in Q2 2025?",Gross Profit,Provisions,0.2236
What’s left after paying to make our products this month?,Gross Profit,Accruals,3.0948
What are we spending on rent and wages this quarter?,Operating Expenses,Operating Expenses,3.0131
How much goes to running the business daily in 2025?,Operating Expenses,Operating Expenses,2.0848
How much profit came from operations before taxes in Q2?,Operating Profit (EBIT),Operating Profit (EBIT),5.079
What did our core business earn before interest this year?,Operating Profit (EBIT),Operating Profit (EBIT),5.0464
What’s our earnings before taxes and equipment costs in June?,EBITDA,EBITDA,4.9239
How much profit did we make before depreciation this month?,EBITDA,Gross Profit,-3.3837
What’s left after all costs and taxes in Q1 2025?,Net Profit (PAT),Net Profit (PAT),5.3645
How much profit did we keep after everything last quarter?,Net Profit (PAT),Net Profit (PAT),3.3947
What’s each share earning for investors this month?,Earnings Per Share (EPS),Earnings Per Share (EPS),4.3219
How much profit per share did we make in Q2 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),5.4121
How much cash did our business operations bring in last month?,Operating Cash Flow,Operating Cash Flow,5.0607
What cash came from our core activities in May 2025?,Operating Cash Flow,Operating Cash Flow,4.7725
What did we spend on new machines in Q1 2025?,Investing Cash Flow,Working Capital,-4.9462
How much went to buying assets last quarter?,Investing Cash Flow,Investing Cash Flow,4.6732
Did we get any cash from loans in June 2025?,Financing Cash Flow,Financing Cash Flow,4.2435
Any money raised from investors or borrowing this month?,Financing Cash Flow,Financing Cash Flow,-2.3116
How much cash is left after buying gear this quarter?,Free Cash Flow,Provisions,-3.9242
What’s the cash we have after capital spending in 2025?,Free Cash Flow,Free Cash Flow,5.7509
How much are we writing off for old equipment this month?,Depreciation,Depreciation,3.5874
What’s the depreciation on our assets in Q2 2025?,Depreciation,Depreciation,6.2851
What costs are we spreading for patents this year?,Amortization,Cost of Goods Sold (COGS),-1.1687
Are we spreading out expenses for software over time?,Amortization,Depreciation,4.0591
What bills are on the books but unpaid as of now?,Accruals,Non-Current Liabilities,-3.3096
What expenses have we logged but not paid in June?,Accruals,Accruals,-2.5991
Are we saving enough for future repairs or costs?,Provisions,Provisions,5.0603
Do we have funds set aside for upcoming liabilities?,Provisions,Provisions,6.2273
Might we owe money if a legal case goes against us?,Contingent Liabilities,Other Financial Liabilities,-1.9238
Are there any potential debts from future risks?,Contingent Liabilities,Contingent Liabilities,4.1302
What share of our sales is profit after production in Q2?,Net Profit Margin,Gross Profit,0.3555
How much of our revenue stays after making goods?,Net Profit Margin,Revenue,-1.2045
Are we earning good money from our assets this year?,Return on Assets (ROA),Return on Equity (ROE),-1.16
How well are our assets generating profits in 2025?,Return on Assets (ROA),Return on Assets (ROA),5.711
What’s the return for shareholders this quarter?,Return on Equity (ROE),Return on Equity (ROE),4.5167
How much are investors earning on their stake in Q2?,Return on Equity (ROE),Equity Ratio,-1.2993
Are we using our capital wisely to make money?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),5.8981
Is our capital generating strong profits this year?,Return on Capital Employed (ROCE),Return on Capital Employed (ROCE),5.2818
What’s our profit percentage before taxes this month?,EBITDA Margin,Operating Profit (EBIT),-0.3951
How much of sales is profit before depreciation in Q2?,EBITDA Margin,EBITDA,-1.6987
Can we cover short-term bills easily right now?,Current Ratio,Current Ratio,1.13
Do we have enough to pay debts due soon?,Current Ratio,Current Liabilities,0.5082
Can we pay off debts without selling our stock?,Quick Ratio (Acid Test),Interest Coverage Ratio,-1.6342
Are we liquid enough without inventory for short-term bills?,Quick Ratio (Acid Test),Current Ratio,5.4097
Do we have enough cash for bills due immediately?,Cash Ratio,Accruals,-4.303
Can we handle urgent bills with our cash on hand?,Cash Ratio,Accruals,-4.6583
How fast are we selling our inventory this month?,Inventory Turnover,Inventory Turnover,5.4362
Are we moving our stock quickly enough in Q2?,Inventory Turnover,Inventory Turnover,4.2522
Are customers paying us faster than in Q1 2025?,Receivables Turnover,Payables Turnover,-0.2004
How quick are we collecting payments this quarter?,Receivables Turnover,Quick Ratio (Acid Test),1.8322
How often are we paying suppliers this month?,Payables Turnover,Payables Turnover,3.4608
Are we settling vendor bills on time in 2025?,Payables Turnover,Provisions,-4.1805
Are our assets driving enough sales this year?,Asset Turnover,Asset Turnover,5.8489
How well are we using our stuff to boost revenue?,Asset Turnover,Return on Assets (ROA),-0.5757
Is our short-term cash fueling sales effectively?,Working Capital Turnover,Current Ratio,2.3756
Are we getting good sales from our working capital?,Working Capital Turnover,Working Capital Turnover,5.9782
Do we owe more than our company’s worth to shareholders?,Debt-to-Equity Ratio,Equity,-0.5149
Are our debts higher than our equity this quarter?,Debt-to-Equity Ratio,Debt-to-Equity Ratio,4.5637
How much of our assets are paid for with loans?,Debt Ratio,Debt Ratio,5.4834
What portion of our stuff is funded by borrowing?,Debt Ratio,Debt Ratio,4.4788
Can we cover our loan interest without stress?,Interest Coverage Ratio,Interest Coverage Ratio,4.9846
Are our profits enough to handle interest payments?,Interest Coverage Ratio,Interest Coverage Ratio,1.8879
How much of the company belongs to shareholders?,Equity Ratio,Equity,3.5877
What share of our assets comes from owners’ funds?,Equity Ratio,Equity Ratio,4.8904
What’s the balance of loans versus our own money?,Capital Gearing Ratio,Borrowings,-3.937
How much debt do we have compared to equity?,Capital Gearing Ratio,Debt-to-Equity Ratio,-0.5131
How much profit is each share making this year?,Earnings Per Share (EPS),Earnings Per Share (EPS),5.1975
What’s the per-share profit for investors in Q2?,Earnings Per Share (EPS),Earnings Per Share (EPS),4.7828
Is our stock price too high for our earnings?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,5.4501
Are investors overpaying for our stock based on profits?,Price-to-Earnings (P/E) Ratio,Price-to-Earnings (P/E) Ratio,5.1216
Does our stock value match our actual worth?,Price-to-Book (P/B) Ratio,Price-to-Earnings (P/E) Ratio,-1.0597
Is our stock price in line with our net assets?,Price-to-Book (P/B) Ratio,Price-to-Book (P/B) Ratio,6.0685
What’s the dividend return for investors right now?,Dividend Yield,Dividend Yield,5.3153
How much are we paying out in dividends to shareholders?,Dividend Yield,Dividend Yield,3.2799
How much of our profits are we giving as dividends?,Dividend Payout Ratio,Dividend Payout Ratio,4.0331
What share of earnings goes to dividend payments?,Dividend Payout Ratio,Dividend Payout Ratio,5.9706
"What’s our company’s total worth, including debts?",Enterprise Value (EV),Enterprise Value (EV),3.44
How much is the business valued at with all debts?,Enterprise Value (EV),EV/EBITDA,1.8102
How does our value compare to profits before taxes?,EV/EBITDA,Price-to-Earnings (P/E) Ratio,3.6933
What’s our company worth relative to core earnings?,EV/EBITDA,EV/EBITDA,5.5264
What’s the value of our factories and machines today?,"Property, Plant and Equipment (PPE)",Inventories,1.074
How much are our physical assets worth right now?,"Property, Plant and Equipment (PPE)",Assets,-3.1464
How much are our patents and brands valued at?,Intangible Assets,Intangible Assets,3.4347
What’s the worth of our non-physical assets like software?,Intangible Assets,Intangible Assets,5.4585
What’s the value of our rental properties?,Investment Property,Investment Property,3.9747
