NL_Query,GT_Glossary
What’s the total value of everything we own right now?,Assets
How much do we owe to banks and suppliers today?,Liabilities
What’s the company worth to our shareholders this quarter?,Equity
How much cash and stuff can we turn into cash within a year?,Current Assets
What’s the value of our long-term stuff like factories?,Non-Current Assets
What bills do we need to pay off in the next 12 months?,Current Liabilities
What debts are we carrying for the long haul?,Non-Current Liabilities
How much cash do we have after covering short-term bills?,Working Capital
What’s our company’s value to owners after paying debts?,Net Worth
How much money did we make from sales in May 2025?,Revenue
How much cash did we pull in from selling products in Q2 2025?,Revenue
What’s the cost of making the goods we sold last week?,Cost of Goods Sold (COGS)
How much did it cost to produce our stuff in April 2025?,Cost of Goods Sold (COGS)
"After covering production, what did we keep in Q2 2025?",Gross Profit
What’s left after paying to make our products this month?,Gross Profit
What are we spending on rent and wages this quarter?,Operating Expenses
How much goes to running the business daily in 2025?,Operating Expenses
How much profit came from operations before taxes in Q2?,Operating Profit (EBIT)
What did our core business earn before interest this year?,Operating Profit (EBIT)
What’s our earnings before taxes and equipment costs in June?,EBITDA
How much profit did we make before depreciation this month?,EBITDA
What’s left after all costs and taxes in Q1 2025?,Net Profit (PAT)
How much profit did we keep after everything last quarter?,Net Profit (PAT)
What’s each share earning for investors this month?,Earnings Per Share (EPS)
How much profit per share did we make in Q2 2025?,Earnings Per Share (EPS)
How much cash did our business operations bring in last month?,Operating Cash Flow
What cash came from our core activities in May 2025?,Operating Cash Flow
What did we spend on new machines in Q1 2025?,Investing Cash Flow
How much went to buying assets last quarter?,Investing Cash Flow
Did we get any cash from loans in June 2025?,Financing Cash Flow
Any money raised from investors or borrowing this month?,Financing Cash Flow
How much cash is left after buying gear this quarter?,Free Cash Flow
What’s the cash we have after capital spending in 2025?,Free Cash Flow
How much are we writing off for old equipment this month?,Depreciation
What’s the depreciation on our assets in Q2 2025?,Depreciation
What costs are we spreading for patents this year?,Amortization
Are we spreading out expenses for software over time?,Amortization
What bills are on the books but unpaid as of now?,Accruals
What expenses have we logged but not paid in June?,Accruals
Are we saving enough for future repairs or costs?,Provisions
Do we have funds set aside for upcoming liabilities?,Provisions
Might we owe money if a legal case goes against us?,Contingent Liabilities
Are there any potential debts from future risks?,Contingent Liabilities
What share of our sales is profit after production in Q2?,Net Profit Margin
How much of our revenue stays after making goods?,Net Profit Margin
Are we earning good money from our assets this year?,Return on Assets (ROA)
How well are our assets generating profits in 2025?,Return on Assets (ROA)
What’s the return for shareholders this quarter?,Return on Equity (ROE)
How much are investors earning on their stake in Q2?,Return on Equity (ROE)
Are we using our capital wisely to make money?,Return on Capital Employed (ROCE)
Is our capital generating strong profits this year?,Return on Capital Employed (ROCE)
