query,label,score
What’s the total value of everything we own right now?,Current Assets can be defined as Assets expected to be used or converted to cash within a year.,0.0
What’s the total value of everything we own right now?,Working Capital can be defined as Current Assets - Current Liabilities.,0.0
What’s the total value of everything we own right now?,Net Worth can be defined as Another term for equity,0.0
What’s the total value of everything we own right now?,Enterprise Value (EV) can be defined as Total company value.,0.0
What’s the total value of everything we own right now?,"Financial Assets can be defined as Includes investments, trade receivables, and cash equivalents",0.0
What’s the total value of everything we own right now?,"Assets can be defined as Resources owned by a company (e.g., cash, inventory, equipment).",1.0
What’s the total value of everything we own right now?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0.0
What’s the total value of everything we own right now?,"Non-Current Assets can be defined as Long-term assets (e.g., property, plant, and equipment).",0.0
What’s the total value of everything we own right now?,Investment Property can be defined as Property held to earn rentals or for capital appreciation,0.0
What’s the total value of everything we own right now?,Inventories can be defined as Assets held for sale in the ordinary course of business or for use in the production process,0.0
How much do we owe to banks and suppliers today?,"Borrowings can be defined as Loans from banks and financial institutions, classified as current or non",0.0
How much do we owe to banks and suppliers today?,Trade Payables can be defined as Amounts due to suppliers of goods or services.,0.0
How much do we owe to banks and suppliers today?,Current Liabilities can be defined as Obligations due within one year.,0.0
How much do we owe to banks and suppliers today?,"Liabilities can be defined as Obligations or debts the company must pay (e.g., loans, payables).",1.0
How much do we owe to banks and suppliers today?,"Non-Current Liabilities can be defined as Long-term obligations (e.g., long-term loans).",0.0
How much do we owe to banks and suppliers today?,Debt Ratio can be defined as Proportion of assets financed by debt.,0.0
How much do we owe to banks and suppliers today?,Working Capital can be defined as Current Assets - Current Liabilities.,0.0
How much do we owe to banks and suppliers today?,Interest Coverage Ratio can be defined as Ability to pay interest on debt.,0.0
How much do we owe to banks and suppliers today?,Current Assets can be defined as Assets expected to be used or converted to cash within a year.,0.0
How much do we owe to banks and suppliers today?,Current Ratio can be defined as Measures short-term liquidity.,0.0
What’s the company worth to our shareholders this quarter?,Equity can be defined as Owners’ interest in the company (Assets - Liabilities).,1.0
What’s the company worth to our shareholders this quarter?,EV/EBITDA can be defined as Company valuation relative to EBITDA,0.0
What’s the company worth to our shareholders this quarter?,Return on Equity (ROE) can be defined as Profitability for owners.,0.0
What’s the company worth to our shareholders this quarter?,Earnings Per Share (EPS) can be defined as Profit attributable per share.,0.0
What’s the company worth to our shareholders this quarter?,Earnings Per Share (EPS) can be defined as Net profit divided by the number of outstanding shares.,0.0
What’s the company worth to our shareholders this quarter?,Price-to-Earnings (P/E) Ratio can be defined as Valuation relative to earnings.,0.0
What’s the company worth to our shareholders this quarter?,Share Capital can be defined as Funds raised by issuing shares.,0.0
What’s the company worth to our shareholders this quarter?,Enterprise Value (EV) can be defined as Total company value.,0.0
What’s the company worth to our shareholders this quarter?,Net Worth can be defined as Another term for equity,0.0
What’s the company worth to our shareholders this quarter?,Current Ratio can be defined as Measures short-term liquidity.,0.0
How much cash and stuff can we turn into cash within a year?,Current Assets can be defined as Assets expected to be used or converted to cash within a year.,1.0
How much cash and stuff can we turn into cash within a year?,"Investing Cash Flow can be defined as Cash used in or generated from investments (e.g., asset purchase, sale).",0.0
How much cash and stuff can we turn into cash within a year?,"Financial Assets can be defined as Includes investments, trade receivables, and cash equivalents",0.0
How much cash and stuff can we turn into cash within a year?,Working Capital can be defined as Current Assets - Current Liabilities.,0.0
How much cash and stuff can we turn into cash within a year?,"Assets can be defined as Resources owned by a company (e.g., cash, inventory, equipment).",0.0
How much cash and stuff can we turn into cash within a year?,Current Liabilities can be defined as Obligations due within one year.,0.0
How much cash and stuff can we turn into cash within a year?,"Financing Cash Flow can be defined as Cash from borrowing, issuing shares, or dividend payments.",0.0
How much cash and stuff can we turn into cash within a year?,"Net Profit (PAT) can be defined as Profit after all expenses, interest, and tax.",0.0
How much cash and stuff can we turn into cash within a year?,Net Worth can be defined as Another term for equity,0.0
How much cash and stuff can we turn into cash within a year?,Accruals can be defined as Revenues or expenses recognized before cash is exchanged.,0.0
What’s the value of our long-term stuff like factories?,"Non-Current Assets can be defined as Long-term assets (e.g., property, plant, and equipment).",1.0
What’s the value of our long-term stuff like factories?,Inventories can be defined as Assets held for sale in the ordinary course of business or for use in the production process,0.0
What’s the value of our long-term stuff like factories?,"Assets can be defined as Resources owned by a company (e.g., cash, inventory, equipment).",0.0
