NL_Query,period_id,period_view,predicted_view,predicted_period_id
I want to know the Current Assets as of for Second half 2023.,2023_FH_PRD_2,PRD,PRD,2023_FH_PRD_2
I want to know the EBITDA year to date for October 2016.,2016_M_PRD_12,PRD,PRD,2016_M_PRD_0
I want to know the Free Cash Flow as of for First half 2010.,2010_FH_PRD_1,PRD,FTP,2010_FH_FTP_1
I want to know the Gross Profit so far for Second half 2017.,2017_FH_PRD_2,PRD,PRD,2017_FH_PRD_2
Please give me the Financing Cash Flow to date for FY 2019.,2019_FY_PRD_1,PRD,PRD,2019_FY_PRD_1
What was the Gross Profit so far for Second half 2025?,2025_FH_PRD_2,PRD,PRD,2025_FH_PRD_2
What was the Financing Cash Flow so far for First half 2021?,2021_FH_PRD_1,PRD,PRD,2021_FH_PRD_1
Please give me the Non-Current Liabilities so far for July 2013.,2013_M_PRD_12,PRD,PRD,2013_M_PRD_0
What was the Assets as of for Q2 2021?,2021_FQ_PRD_2,PRD,PRD,2021_FQ_PRD_2
I want to know the EBITDA up to for Q4 2014.,2014_FQ_PRD_4,PRD,PRD,2014_FQ_PRD_4
Please give me the Working Capital cumulative through for FY 2016.,2016_FY_PRD_1,PRD,PRD,2016_FY_PRD_1
Please give me the Investing Cash Flow cumulative through for December 2013.,2013_M_PRD_5,PRD,PRD,2013_M_PRD_0
Please give me the Net Profit as of for FY 2019.,2019_FY_PRD_1,PRD,PRD,2019_FY_PRD_1
I want to know the Equity to date for Second half 2020.,2020_FH_PRD_2,PRD,PRD,2020_FH_PRD_2
Could you tell me the Equity up to for Q1 2024?,2024_FQ_PRD_1,PRD,PRD,2024_FQ_PRD_1
Please give me the Gross Profit up to for First half 2023.,2023_FH_PRD_1,PRD,PRD,2023_FH_PRD_1
I want to know the EPS as of for FY 2016.,2016_FY_PRD_1,PRD,PRD,2016_FY_PRD_1
Can you share the Current Liabilities to date for Q4 2019?,2019_FQ_PRD_4,PRD,PRD,2019_FQ_PRD_4
Could you tell me the Assets so far for Q3 2022?,2022_FQ_PRD_3,PRD,PRD,2022_FQ_PRD_3
What was the Current Assets as of for April 2023?,2023_M_PRD_9,PRD,PRD,2023_M_PRD_0
Can you share the Amortization for the period for Q1 2021?,2021_FQ_FTP_1,FTP,FTP,2021_FQ_FTP_1
What was the Current Assets for the period for FY 2011?,2011_FY_FTP_1,FTP,PRD,2011_FY_PRD_1
Could you tell me the Operating Cash Flow so far for FY 2011?,2011_FY_PRD_1,PRD,PRD,2011_FY_PRD_1
What was the Revenue  for First half 2021?,2021_FH_FTP_1,FTP,PRD,2021_FH_PRD_1
Could you tell me the Amortization for the period for FY 2014?,2014_FY_FTP_1,FTP,FTP,2014_FY_FTP_1
I want to know the Net Worth  for FY 2019.,2019_FY_FTP_1,FTP,PRD,2019_FY_PRD_1
I want to know the Current Assets cumulative through for Second half 2017.,2017_FH_PRD_2,PRD,PRD,2017_FH_PRD_2
I want to know the Non-Current Assets so far for Second half 2017.,2017_FH_PRD_2,PRD,PRD,2017_FH_PRD_2
Please give me the Operating Expenses so far for Q4 2021.,2021_FQ_PRD_4,PRD,PRD,2021_FQ_PRD_4
Please give me the Free Cash Flow for the period for Q4 2014.,2014_FQ_FTP_4,FTP,FTP,2014_FQ_FTP_4
Can you share the Operating Cash Flow for the period for Q3 2020?,2020_FQ_FTP_3,FTP,PRD,2020_FQ_PRD_3
Can you share the Financing Cash Flow year to date for August 2011?,2011_M_PRD_6,PRD,PRD,2011_M_PRD_0
