NL_Query,period_id,period_view,predicted_view,predicted_period_id
I want to know the Equity year to date for August 2014.,2014_M_PRD_8,PRD,PRD,2014_M_PRD_0
I want to know the Working Capital  for July 2020.,2020_M_FTP_7,FTP,PRD,2020_M_PRD_0
Can you share the Operating Cash Flow  for Second half 2023?,2023_FH_FTP_2,FTP,PRD,2023_FH_PRD_2
What was the Non-Current Assets for the period for Q1 2010?,2010_FQ_FTP_1,FTP,PRD,2010_FQ_PRD_1
Can you share the Gross Profit as of for FY 2016?,2016_FY_PRD_1,PRD,FTP,2016_FY_FTP_1
Please give me the Free Cash Flow for the period for January 2011.,2011_M_FTP_1,FTP,FTP,2011_M_FTP_0
Can you share the Liabilities for the period for February 2018?,2018_M_FTP_2,FTP,FTP,2018_M_FTP_0
Could you tell me the Financing Cash Flow as of for Second half 2012?,2012_FH_PRD_2,PRD,PRD,2012_FH_PRD_2
What was the EPS for the period for July 2022?,2022_M_FTP_7,FTP,PRD,2022_M_PRD_0
Please give me the Gross Profit up to for Q1 2016.,2016_FQ_PRD_1,PRD,PRD,2016_FQ_PRD_1
Please give me the Current Assets  for Q2 2016.,2016_FQ_FTP_2,FTP,PRD,2016_FQ_PRD_2
I want to know the Financing Cash Flow as of for Q3 2021.,2021_FQ_PRD_3,PRD,PRD,2021_FQ_PRD_3
Could you tell me the Gross Profit  for June 2012?,2012_M_FTP_6,FTP,FTP,2012_M_FTP_0
Please give me the Current Assets for the period for May 2018.,2018_M_FTP_5,FTP,PRD,2018_M_PRD_0
Can you share the Assets for the period for First half 2019?,2019_FH_FTP_1,FTP,FTP,2019_FH_FTP_1
I want to know the EBITDA year to date for August 2015.,2015_M_PRD_8,PRD,PRD,2015_M_PRD_0
Could you tell me the Non-Current Liabilities for the period for March 2020?,2020_M_FTP_3,FTP,PRD,2020_M_PRD_0
Could you tell me the Amortization as of for FY 2022?,2022_FY_PRD_1,PRD,PRD,2022_FY_PRD_1
I want to know the Liabilities for the period for FY 2024.,2024_FY_FTP_1,FTP,FTP,2024_FY_FTP_1
Can you share the EBITDA as of for Q1 2012?,2012_FQ_PRD_1,PRD,PRD,2012_FQ_PRD_1
What was the Equity year to date for FY 2019?,2019_FY_PRD_1,PRD,PRD,2019_FY_PRD_1
I want to know the Depreciation year to date for Q1 2015.,2015_FQ_PRD_1,PRD,PRD,2015_FQ_PRD_1
Can you share the Current Liabilities for the period for September 2024?,2024_M_FTP_9,FTP,PRD,2024_M_PRD_0
What was the EBITDA for the period for FY 2017?,2017_FY_FTP_1,FTP,FTP,2017_FY_FTP_1
Can you share the Operating Expenses for the period for Second half 2013?,2013_FH_FTP_2,FTP,FTP,2013_FH_FTP_2
I want to know the Non-Current Assets to date for May 2020.,2020_M_PRD_5,PRD,PRD,2020_M_PRD_0
Please give me the Non-Current Assets for the period for FY 2010.,2010_FY_FTP_1,FTP,FTP,2010_FY_FTP_1
Could you tell me the Net Worth so far for June 2015?,2015_M_PRD_6,PRD,PRD,2015_M_PRD_0
I want to know the Equity for the period for Q3 2014.,2014_FQ_FTP_3,FTP,FTP,2014_FQ_FTP_3
I want to know the Non-Current Liabilities  for First half 2013.,2013_FH_FTP_1,FTP,PRD,2013_FH_PRD_1
What was the Equity cumulative through for February 2019?,2019_M_PRD_2,PRD,PRD,2019_M_PRD_0
Could you tell me the EBITDA up to for Second half 2013?,2013_FH_PRD_2,PRD,PRD,2013_FH_PRD_2
Please give me the Financing Cash Flow  for January 2013.,2013_M_FTP_1,FTP,PRD,2013_M_PRD_0
Please give me the Financing Cash Flow  for Q1 2016.,2016_FQ_FTP_1,FTP,PRD,2016_FQ_PRD_1
Could you tell me the Operating Expenses up to for Q4 2022?,2022_FQ_PRD_4,PRD,PRD,2022_FQ_PRD_4
I want to know the Net Profit year to date for FY 2016.,2016_FY_PRD_1,PRD,PRD,2016_FY_PRD_1
I want to know the Assets to date for FY 2011.,2011_FY_PRD_1,PRD,PRD,2011_FY_PRD_1
I want to know the Equity cumulative through for April 2011.,2011_M_PRD_4,PRD,PRD,2011_M_PRD_0
I want to know the Current Liabilities up to for Second half 2017.,2017_FH_PRD_2,PRD,PRD,2017_FH_PRD_2
Can you share the Gross Profit  for November 2018?,2018_M_FTP_11,FTP,PRD,2018_M_PRD_0
What was the Current Assets as of for Q3 2011?,2011_FQ_PRD_3,PRD,PRD,2011_FQ_PRD_3
Can you share the Amortization year to date for Q3 2016?,2016_FQ_PRD_3,PRD,PRD,2016_FQ_PRD_3
Can you share the Net Worth for the period for May 2021?,2021_M_FTP_5,FTP,PRD,2021_M_PRD_0
Can you share the Net Worth cumulative through for Q1 2016?,2016_FQ_PRD_1,PRD,PRD,2016_FQ_PRD_1
Could you tell me the EPS up to for First half 2013?,2013_FH_PRD_1,PRD,PRD,2013_FH_PRD_1
