NL_Query,GT_Glossary,Predicted_Glossary,Combined_Score
What’s the total value of everything we own right now?,Assets,Assets,-3.1925
How much do we owe to banks and suppliers today?,Liabilities,Trade Payables,0.8358
What’s the company worth to our shareholders this quarter?,Equity,Return on Equity (ROE),-0.9981
How much cash and stuff can we turn into cash within a year?,Current Assets,Current Assets,2.094
What’s the value of our long-term stuff like factories?,Non-Current Assets,Non-Current Assets,3.74
What bills do we need to pay off in the next 12 months?,Current Liabilities,Provisions,-2.9844
What debts are we carrying for the long haul?,Non-Current Liabilities,Non-Current Liabilities,4.1604
How much cash do we have after covering short-term bills?,Working Capital,Current Ratio,0.4525
What’s our company’s value to owners after paying debts?,Net Worth,Return on Equity (ROE),-0.4084
How much money did we make from sales in May 2025?,Revenue,Revenue,4.5325
How much cash did we pull in from selling products in Q2 2025?,Revenue,Revenue,1.8227
What’s the cost of making the goods we sold last week?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),6.1033
How much did it cost to produce our stuff in April 2025?,Cost of Goods Sold (COGS),Cost of Goods Sold (COGS),3.8792
"After covering production, what did we keep in Q2 2025?",Gross Profit,Financial Assets,-3.1535
What’s left after paying to make our products this month?,Gross Profit,Cost of Goods Sold (COGS),-0.02
What are we spending on rent and wages this quarter?,Operating Expenses,Operating Expenses,2.5957
How much goes to running the business daily in 2025?,Operating Expenses,Operating Expenses,2.2211
How much profit came from operations before taxes in Q2?,Operating Profit (EBIT),Operating Profit (EBIT),5.5602
What did our core business earn before interest this year?,Operating Profit (EBIT),EBITDA,5.1446
What’s our earnings before taxes and equipment costs in June?,EBITDA,EBITDA,3.5811
How much profit did we make before depreciation this month?,EBITDA,EBITDA,3.2039
What’s left after all costs and taxes in Q1 2025?,Net Profit (PAT),Net Profit (PAT),5.7818
How much profit did we keep after everything last quarter?,Net Profit (PAT),Net Profit (PAT),3.2337
What’s each share earning for investors this month?,Earnings Per Share (EPS),Earnings Per Share (EPS),4.7164
How much profit per share did we make in Q2 2025?,Earnings Per Share (EPS),Earnings Per Share (EPS),2.0247
How much cash did our business operations bring in last month?,Operating Cash Flow,Operating Cash Flow,4.2469
What cash came from our core activities in May 2025?,Operating Cash Flow,Operating Cash Flow,5.1749
What did we spend on new machines in Q1 2025?,Investing Cash Flow,Investing Cash Flow,-2.3356
How much went to buying assets last quarter?,Investing Cash Flow,Investing Cash Flow,2.0994
Did we get any cash from loans in June 2025?,Financing Cash Flow,Financing Cash Flow,5.0094
Any money raised from investors or borrowing this month?,Financing Cash Flow,Financing Cash Flow,-0.1847
How much cash is left after buying gear this quarter?,Free Cash Flow,Current Ratio,-3.7481
